מזהה,שם המוצר / שובר,ספק / מותג,קטגוריה,מחיר בהצדעה ₪,מחיר מקורי ₪,אחוז חיסכון %,תגיות מבצע,מיקום / משלוח,תוקף המבצע,הגבלת רכישה,רשת מקושרת,קישור למוצר
168522,מערכת ישיבה לגינה דגם 'קליפורניה',בהצדעה,ריהוט ואביזרים לגן ולמרפסת,399.0,399.0,0%,ריהוט ואביזרים לגן ולמרפסת,כולל משלוח עד הבית,,,ללא,https://www.behatsdaa.org.il/category/productPage/168522
183016,מארז זוג חולצות טי-שרט מבית Timberland,Timberland,טקסטיל והלבשה,14.0,99.0,86%,טקסטיל והלבשה,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/183016
185615,מארז 3/4 מגבות מלון סטאי צבעים לבחירה Cotton Club,בהצדעה,טקסטיל והלבשה,99.0,149.0,34%,טקסטיל והלבשה,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/185615
178495,מארז 10 מגבות זירו טוויסט מלון סטאי Cotton Club,בהצדעה,טקסטיל והלבשה,115.0,145.0,21%,טקסטיל והלבשה,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/178495
184151,סט זוגי 100% כותנה פרקל מלון סטאי Cotton Club,בהצדעה,טקסטיל והלבשה,199.0,239.0,17%,טקסטיל והלבשה,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/184151
155486,מארז 4 מגבות גוף עבות 100% כותנה מבית Swiss Bath,Swiss Bath,טקסטיל והלבשה,17.0,79.0,78%,טקסטיל והלבשה,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/155486
143863,סדין/מגן מזרן DELISIMO Aero Guard מבית Aeroflex,Aeroflex,טקסטיל והלבשה,85.0,165.0,48%,טקסטיל והלבשה,כולל משלוח עד הבית,,,ללא,https://www.behatsdaa.org.il/category/productPage/143863
143862,כרית לילדים MY FIRST PILLOW מבית Aeroflex,Aeroflex,טקסטיל והלבשה,169.0,169.0,0%,טקסטיל והלבשה,כולל משלוח עד הבית,,,ללא,https://www.behatsdaa.org.il/category/productPage/143862
170730,זוג כריות אורטופדיות CLASSIC VISCO מבית Aeroflex,Aeroflex,טקסטיל והלבשה,269.0,269.0,0%,טקסטיל והלבשה,כולל משלוח עד הבית,,,ללא,https://www.behatsdaa.org.il/category/productPage/170730
67465,כרית סמארט לוונדר - ורדינון,כרית סמארט לוונדר,טקסטיל והלבשה,99.0,99.0,0%,טקסטיל והלבשה,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/67465
103778,סט מצעי סאטן יוקרתי 100% כותנה - ורדינון,סט מצעי סאטן יוקרתי 100% כותנה,טקסטיל והלבשה,165.0,259.0,36%,טקסטיל והלבשה,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/103778
26696,זוג כריות דיינסטי - ורדינון,זוג כריות דיינסטי,טקסטיל והלבשה,144.0,144.0,0%,טקסטיל והלבשה,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/26696
